S,T,Magnitude,X,Y,Temperature
0,101,0.042386666,0.9827666,-0.1848505,0.8530651
1,101,0.042386666,0.9103054,-0.4139374,0.8588697
2,101,0.035285314,0.9148968,-0.4036879,0.8604214
3,101,0.075285314,0.8275812,-0.561346,0.8635345
4,101,0.061212136,0.8442265,-0.5359865,0.8606418
5,101,0.061212136,0.9703344,-0.2417667,0.8553065
6,101,0.063164004,0.9560713,-0.2931343,0.8509674
7,101,0.043164004,0.7792757,-0.6266813,0.8472031
8,101,0.053937846,0.8207809,-0.571243,0.8485345
9,101,0.073937846,0.991633,-0.129089,0.8506992
10,101,0.062255884,0.9621623,-0.2724769,0.8499329
11,101,0.062255884,0.8902788,-0.455416,0.8456417
12,101,0.079502038,0.922662,-0.3856097,0.8434483
13,101,0.099502038,0.8603722,-0.5096662,0.8396264
14,101,0.096731278,0.9989234,-0.0463892,0.8399329
15,101,0.196731278,0.9979591,0.0638556,0.8363027
16,101,0.211441571,0.9491406,-0.3148525,0.8381801
17,101,0.151441571,0.9403362,-0.3402468,0.837069
18,101,0.132490527,0.9377718,-0.3472521,0.8359962
19,101,0.072490527,0.9167861,-0.3993785,0.837864
20,101,0.098809158,0.8021316,-0.5971473,0.8307471
21,101,0.138809158,0.9695058,-0.2450682,0.828841
22,101,0.109155192,0.9555517,-0.2948236,0.8255938
23,101,0.069155192,0.895968,-0.4441186,0.8180842
24,101,0.003918254,0.2741743,0.96168,0.8157854
25,101,0.063918254,0.1327268,-0.9911526,0.8181609
26,101,0.037146325,0.3539203,-0.9352756,0.8166092
27,101,0.037146325,0.7024921,-0.7116915,0.8133908
28,101,0.030287352,0.9763849,0.2160385,0.8015996
29,101,0.030287352,0.3803675,-0.9248354,0.7891762
30,101,0.044618877,-0.8276421,-0.5612562,0.7779023
31,101,0.044618877,-0.9054005,-0.4245584,0.7737452
32,101,0.01023224,0.0388005,-0.999247,0.7712739
33,101,0.03023224,0.8745887,0.4848655,0.7684866
34,101,0.005164626,0.8395908,-0.5432193,0.7660632
35,101,0.005164626,0.6096343,0.7926828,0.7536398
36,101,0.034964837,-0.0564286,-0.9984066,0.7503639
37,101,0.034964837,0.5329525,-0.8461452,0.7493103
38,101,0.016862711,0.6039502,-0.797022,0.7373946
39,101,0.056862711,0.4028,-0.915288,0.731705
40,101,0.031874961,0.9978567,-0.0654371,0.7307567
41,101,0.051874961,0.9653272,-0.2610428,0.7310153
42,101,0.031960805,0.681294,-0.7320099,0.7310057
43,101,0.031960805,0.995133,-0.0985409,0.7268487
44,101,0.009640937,0.9648628,0.2627544,0.7199042
45,101,0.029640937,0.858481,0.5128454,0.7279885
46,101,0.033215299,0.7102859,-0.7039133,0.7290613
47,101,0.073215299,0.8801612,0.4746749,0.7196072
48,101,0.045538894,0.8957303,-0.444598,0.7112644
49,101,0.025538894,0.9392284,-0.3432928,0.7196552
50,101,0.059420776,0.9307418,0.365677,0.7254406
51,101,0.039420776,0.9819892,-0.188937,0.7230555
52,101,0.038657517,0.9611626,0.2759828,0.7137644
53,101,0.058657517,0.9447169,0.3278873,0.7116475
54,101,0.059055346,0.8687882,0.4951838,0.7089272
55,101,0.059055346,0.9382405,0.3459839,0.7137356
56,101,0.05382666,0.8021847,0.597076,0.7151245
57,101,0.03382666,0.9785781,0.205876,0.7249329
58,101,0.058411534,0.9000561,0.4357741,0.7383237
59,101,0.038411534,0.8750039,0.4841159,0.7532567
60,101,0.05060289,0.619393,0.7850811,0.7481992
61,101,0.03060289,0.7390651,0.6736341,0.7637261
62,101,0.046624039,0.4599641,0.8879375,0.7738698
63,101,0.026624039,0.9868692,0.1615212,0.7935537
64,101,0.06521423,0.0371093,0.9993112,0.7932472
65,101,0.04521423,0.390196,0.9207318,0.8000671
66,101,0.06521423,-0.6419807,0.7667208,0.810728
67,101,0.06521423,0.1440162,0.9895753,0.8099712
68,101,0.049657134,-0.9610319,-0.2764374,0.8191954
69,101,0.109657134,-0.9053637,-0.424637,0.8212069
70,101,0.149657134,0.3024544,0.9531639,0.8524233
71,101,0.029657134,0.5743613,-0.8186019,0.8748468
72,101,0.071113708,0.4332786,0.9012601,0.8810824
73,101,0.111113708,-0.3607164,0.9326755,0.8929023
82,101,0.103263056,0.8096932,-0.5868533,0.8866763
83,101,0.063263056,0.7932043,-0.6089556,0.8872796
84,101,0.109794567,0.7014568,0.712712,0.8877969
85,101,0.189794567,0.9243863,-0.3814576,0.8949808
86,101,0.209794567,0.999454,0.0330397,0.8983046
87,101,0.169794567,0.9888433,-0.1489594,0.9092432
88,101,0.34019709,0.9999962,-0.0027674,0.9099616
89,101,0.12019709,0.9740493,0.226336,0.9146839
90,101,0,0,0,0.91159
91,101,0.28019709,0.9493091,-0.3143441,0.8978831
92,101,0.233841087,0.4605208,-0.8876489,0.900115
93,101,0.793841087,0.2581567,-0.966103,0.8952107
94,101,0.213841087,-0.0192102,-0.9998155,0.9109769
95,101,0,0,0,0.9099138
96,101,0,0,0,0.9064655
100,101,0,0,0,0.8982375
101,101,0,0,0,0.9057279
102,101,0.234720807,0.8674846,-0.497464,0.9133812
103,101,0,0,0,0.9159578
104,101,0.048156176,0.085025,-0.9963788,0.9036398
105,101,0.068156176,0.9209307,0.3897263,0.8939942
106,101,0.068156176,0.7078747,-0.706338,0.8900287
107,101,0.048156176,0.892568,0.4509128,0.8890901
108,101,0.060611655,0.8919811,-0.4520726,0.8867241
109,101,0.060611655,0.9504249,-0.3109541,0.8875
110,101,0.020611655,0.3820499,-0.9241417,0.8845498
111,101,0.040611655,-0.6214115,-0.7834843,0.8855555
112,101,0.023087943,-0.9397117,0.3419678,0.8790326
113,101,0.023087943,0.0370482,-0.9993135,0.8778831
114,101,0.023087943,0.6137943,0.789466,0.8731514
115,101,0.023087943,0.7845127,-0.6201127,0.870862
116,101,0.021702679,0.9996794,-0.0253214,0.8722318
117,101,0.021702679,0.3497012,-0.9368613,0.8703831
118,101,0.021702679,-0.8674806,-0.497471,0.8672796
119,101,0.021702679,0.660956,-0.7504247,0.8616379
120,101,0.04199292,0.7501951,-0.6612164,0.8656226
121,101,0.02199292,0.0130422,-0.9999149,0.8622892
122,101,0.00199292,0.2416381,-0.9703665,0.8592049
123,101,0.04199292,0.7830777,-0.6219238,0.8562931
124,101,0.024343116,0.7220832,-0.6918063,0.8555173
125,101,0.044343116,0.9337476,-0.3579322,0.8513218
126,101,0.084343116,0.8202271,-0.5720381,0.8536686
127,101,0.064343116,0.9944348,0.1053535,0.8503927
128,101,0.053942641,0.999464,-0.032736,0.8482758
129,101,0.053942641,0.9953358,-0.0964706,0.8498946
130,101,0.063792368,0.964119,-0.2654707,0.8420977
131,101,0.063792368,0.9567379,-0.2909513,0.8361686
